id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,swimlane,back-points,design-points,front-points,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,generated_from_task,from_task_ref,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason,Business Value,Depends On
3871952,12,GUI - Current Votes,"As a dealer I would like to view the current votes for an issue/user-story so that I can see all the votes

Acceptance Criteria : 
1) A button to view the ""Current Votes""
2) A pop-up opened with the list of votes 
3) A button to ""Reset Votes""
4) An option to close the pop-up",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,2.0,2.0,2.0,11.0,3,1644110813208977,1644110813238267,2022-02-06 01:26:53.238277+00:00,2022-02-13 00:12:06.313336+00:00,,False,False,0,,,,,,,[],0,,,large,
3871953,13,GUI - Next Issue,"As a player of the game, I would like to go to the next issue so that I can proceed in the game

Acceptance Criteria : 
1) A button ""Next Issue""
2) The next issue displayed in text format",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,3.0,1.0,1.0,2.0,7.0,4,7,1644110893445613,2022-02-06 01:28:13.445624+00:00,2022-02-13 00:12:38.535167+00:00,,False,False,0,,,,,,,[],0,,,medium,
3871955,14,GUI - Show Report,"As a player of the game I would like to view a report with the issues/user-stories and their corresponding votes so that I can see all the votes and issues in one place

Acceptance Criteria : 
1) A button to ""Show Report""
2) A list of issues/user-stories displayed in text format displayed in a pop-up
3) A button to close the pop-up",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,3.0,2.0,2.0,12.0,5,1644111083664311,1644111083695191,2022-02-06 01:31:23.695204+00:00,2022-02-13 00:13:49.941544+00:00,,False,False,0,,,,,,,[],0,,,large,
3871956,15,GUI - Display Current Dealer,"As a player of the game I would like to have an option to see the current dealer so that I can know who is the dealer for this game

Acceptance Criteria : 
1) A button ""Display Current Dealer""
2) A pop-up window opened displaying a message saying ""The current dealer is <dealerName>""
3) An option to close the pop-up",308839,Sprint 2,2022-02-12,2022-02-18,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,2.0,1.0,1.0,1.0,5.0,1644109038297940,3,1644111200317582,2022-02-06 01:33:20.317591+00:00,2022-02-13 00:14:46.836723+00:00,2022-02-18 06:40:41.546378+00:00,False,False,0,,,,,"58,59,60",,[],0,,,small,
3871957,16,GUI - Exit,"As a player of the game, I would like to be able to exit from the game so that I can quit the game

Acceptance Criteria : 
1) A button to exit from the game
2) A pop-up displayed with text ""Are you sure you want to exit the game?""
3) A button to ""Confirm""
4) A button to ""Cancel""",308839,Sprint 2,2022-02-12,2022-02-18,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,1.0,2.0,2.0,2.0,7.0,1644109038297941,4,1644111298681594,2022-02-06 01:34:58.681605+00:00,2022-02-13 00:15:49.485821+00:00,2022-02-18 06:44:10.315938+00:00,False,False,0,,,,,"61,62,63,64",,[],0,,,large,
3871958,17,GUI - Previous Issue,"As a player of the game, I would like to see the previous issue / user-story discussed so that I can see my vote for the previous issue

Acceptance Criteria :
1) The previous issue displayed in a text format
2) The vote of the particular player displayed in text format
3) A button to go to the ""Next Issue""",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,3.0,2.0,1.0,2.0,8.0,6,8,1644111440116135,2022-02-06 01:37:20.116150+00:00,2022-02-13 00:16:33.603767+00:00,,False,False,0,,,,,,,[],0,,,medium,
3871959,18,GUI - View User Count,"As a player of the game, I would like to view the current user count so that I know how many players are playing the game

Acceptance Criteria :
1) A button to ""View User Count""
2) A pop-up displayed with a text displayed ""Currently there are <X> Players in the game""
3) An option to close the pop-up",308839,Sprint 2,2022-02-12,2022-02-18,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,2.0,3.0,1.0,1.0,7.0,1644109038297943,5,1644111594119644,2022-02-06 01:39:54.119654+00:00,2022-02-13 00:04:10.299487+00:00,2022-02-19 01:47:41.901998+00:00,False,False,0,,,,,"51,52,53,65",,[],0,,,medium,
3871960,19,GUI - Remove Player,"As a dealer/Scrum Master I would like to remove a player so that I can remove them from the game

Acceptance Criteria : 
1) A button to ""Remove a player""
2) A pop-up displayed with the user's names, and a button displayed beside each user's name to ""Remove Player""
3) An option to close the pop-up",308840,Sprint 3,2022-02-19,2022-02-26,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,5.0,1.0,2.0,2.0,10.0,1644109038297943,4,1644111786136199,2022-02-06 01:43:06.136208+00:00,2022-02-13 00:17:11.153253+00:00,2022-02-26 03:54:30.402073+00:00,False,False,0,,,,,"72,73",,[],0,,,large,
3871962,20,Web Interface Development,"As a player, I would like to be able to play this game on web so that I can play this game from my browser

Acceptance Criteria:
A fully functional web interface supporting all the features and commands on the game",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,8.0,8.0,8.0,8.0,32.0,7,1644112051671120,1644112051698764,2022-02-06 01:47:31.698774+00:00,2022-02-13 00:17:33.404057+00:00,,False,False,0,,,,,,,[],0,,,x-large,
3871963,21,Scrum Master Role in the Game,"As a stake holder, I would like to have a scrum master in the game so that the scrum master can add or remove a player

Acceptance Criteria :    
1) Checkbox to ask if a player is a Scrum master.

2)Store the Scrum master details.

3)Display the Current Scrum master.",308841,Sprint 4,2022-02-26,2022-03-04,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,3.0,2.0,2.0,2.0,9.0,8,9,1644112150993388,2022-02-06 01:49:10.993397+00:00,2022-02-28 02:55:53.911310+00:00,,False,False,0,,,,,"91,92,93,94",,[],0,,,large,
3871964,22,Save the Game Status,"As a stakeholder, I would like to save the status of the game so that we can quit the game and resume again at a later time

Acceptance Criteria :
1) An option to ""Save Game"" displayed to the dealer
2) An option to view the saved games
3) An option to resume a saved game",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,1.0,1.0,2.0,9.0,8,1644112251956053,1644112251984395,2022-02-06 01:50:51.984411+00:00,2022-02-06 20:04:52.417396+00:00,,False,False,0,,,,,,,[],0,,,x-large,
3871965,23,Descriptive HTTP Status Messages,"As a player of the game, I would like to see descriptive messages for a particular HTTP status code so that I know what the problem is 

Acceptance Criteria: 
1) A descriptive text displayed along with the HTTP status code upon receiving the response
2) A descriptive text for every possible HTTP status code",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,2.0,1.0,2.0,10.0,9,1644112374595116,1644112374621511,2022-02-06 01:52:54.621521+00:00,2022-02-13 00:21:05.116218+00:00,,False,False,0,,,,,,,[],0,,,medium,
3871966,24,Auto Locate Server in a LAN,"As a player of the game, I would like to auto locate a server on the LAN so that I can connect to the game

Acceptance Criteria : 
1) An option to auto locate a server on the LAN 
2) Details of the server displayed to the user upon auto locating",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,8.0,2.0,2.0,2.0,14.0,10,1644112463004814,1644112463035706,2022-02-06 01:54:23.035716+00:00,2022-02-13 00:21:28.779014+00:00,,False,False,0,,,,,,,[],0,,,large,
3871967,25,Provide an option to estimate for user stories,"As a member of a organisation, I would like to be able to use this game for estimating user stories so that I can estimate user stories

Acceptance Criteria :   
1)Functionality to add user stories to the game.

2)Functionality to store the user stories.",308841,Sprint 4,2022-02-26,2022-03-04,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,2.0,2.0,2.0,2.0,8.0,12,10,1644112626714163,2022-02-06 01:57:06.714173+00:00,2022-02-28 02:50:58.717668+00:00,2022-03-03 03:26:22.104165+00:00,False,False,0,,,,,"88,89,90",,[],0,,,large,
3871969,26,Add epics option to the game,"As a member of an organisation, I would like to use this game to estimate epics so that we have an estimate for epics

Acceptance Criteria : 
1) An option to add epics to the game
2) An option to view the user stories part of the epics
3) An option to vote for the entire epic
4) An option to vote for an individual user story part of an epic",308840,Sprint 3,2022-02-19,2022-02-26,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,5.0,1.0,3.0,2.0,11.0,1644109038297944,5,1644112764934104,2022-02-06 01:59:24.934115+00:00,2022-02-13 00:22:47.688388+00:00,2022-02-25 02:54:07.771031+00:00,False,False,0,,,,,"74,75,79",,[],0,,,large,
3871970,27,Estimate Business Value and Story Points in the Game,"As a player of the game, I would like to have an option to estimate business value of a user-story or an epic so that we can estimate business value of a user-story or an epic

Acceptance Criteria : 
1) An option to enter the business value for a user story in the regular flow of the game",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,2.0,1.0,2.0,10.0,12,1644112925548978,1644112925581943,2022-02-06 02:02:05.581969+00:00,2022-02-13 00:23:56.467241+00:00,,False,False,0,,,,,,,[],0,,,large,
3871971,28,Import Stories and Team from Taiga,"As a player of the game, I would like to import user stories and team members as players of a game so that I can easily add user stories and players to a game

Acceptance Criteria : 
1) A button to ""Import from Taiga""
2) A text box to provide the URL of taiga project
3) A button to confirm
4) A button to cancel",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,1.0,2.0,2.0,10.0,13,1644113097641137,1644113097669106,2022-02-06 02:04:57.669115+00:00,2022-02-13 00:24:15.569522+00:00,,False,False,0,,,,,,,[],0,,,large,
3871972,29,Export Estimates to Taiga,"As a player of the game, I would like to export the final estimates as the end of a game for a user story to Taiga so that we can assign the estimate to the particular user story in Taiga

Acceptance Criteria : 
1) A button to ""Export Estimate to Taiga""
2) Upon clicking the button, the estimate should be exported to taiga
3) The estimate should be visible in taiga for that particular user story",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,1.0,2.0,2.0,10.0,11,1644113254975318,1644113255004748,2022-02-06 02:07:35.004761+00:00,2022-02-13 00:23:13.694249+00:00,,False,False,0,,,,,,,[],0,,,large,
3871973,30,Chatbox for Players,"As a player of the game, I would like to have a chatbox so that we can discuss high and low estimates for a user story

Acceptance Criteria : 
1) A chatbox with option to send a message to all users
2) The message should be displayed in chatbox to all the users",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,13.0,2.0,2.0,3.0,20.0,14,1644113378912278,1644113378941518,2022-02-06 02:09:38.941529+00:00,2022-02-13 00:24:54.870985+00:00,,False,False,0,,,,,,,[],0,,,large,
3871974,31,Record Chatbox history for a game,"As a player of the game, I would like to have a  transcript of the chatbox for a particular game recording all the messages so that I can see all the assumptions and conversations in a game

Acceptance Criteria : 
1) An option to export all the messages of chatbox to a text file
2) An option to download the text file to local drive",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,3.0,2.0,1.0,2.0,8.0,15,1644113534665074,1644113534697224,2022-02-06 02:12:14.697247+00:00,2022-02-13 00:25:07.095300+00:00,,False,False,0,,,,,,,[],0,,,medium,
3893221,77,Add an option to remove an issue,"As a scrum master, I want to be able to remove an issue so that I can remove issues which I don't want to estimate for.

Acceptance Criteria : 
1) A button to open 'remove an issue' window
2) The list of issues displayed in a window
3) A text-box to input the index of the issue to be deleted
4) A submit button",308841,Sprint 4,2022-02-26,2022-03-04,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,2.0,2.0,1.0,3.0,8.0,18,11,1645565074856526,2022-02-22 21:24:34.856536+00:00,2022-02-22 21:25:16.445687+00:00,,False,False,0,,,,,"84,85,86,87",,[],0,,,medium,
